Region,ProjectionTitle,Count_ID,ISO2,ISO3,Area_ID,E_Count,Type,Ind_ID,C_Ind_ID,e_cat,AcronymCombined,Acronym,Age,Sex,Other,E_Ind,Time,Value,Rounded,Formatted,Status,Note,Source,Derived,Order_In_Report,Valid,Updated on,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2017,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2018,57.02719,57,57,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2018,284.71361,285,                                               285,Published,,,,1233,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2018,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2019,51.78463,52,52,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2019,276.07526,276,                                               276,Published,,,,1233,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2019,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2020,53.95363,54,54,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2020,271.62569,272,                                               272,Published,,,,1233,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2020,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2021,60.45954,60,60,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2021,267.43491,267,                                               267,Published,,,,1233,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2021,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2022,68.4622,68,68,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2022,277.77649,278,                                               278,Published,,,,1233,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2022,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2023,73.81595,74,74,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2023,289.76182,290,                                               290,Published,,,,1233,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2023,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2024,73.07878,73,73,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2024,294.03306,294,                                               294,Published,,,,1233,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2024,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2010,41.3213,41,41,Published,,,,1224,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2010,176.98287,177,                                               177,Published,,,,1233,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2010,5,5,                                                 5,Published,,,,3762,,5/26/2025 6:19:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2011,35.62411,36,36,Published,,,,1224,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2011,185.3972,185,                                               185,Published,,,,1233,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2011,5,5,                                                 5,Published,,,,3762,,5/26/2025 6:19:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2012,44.60661,45,45,Published,,,,1224,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2012,187.67707,188,                                               188,Published,,,,1233,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2012,5,5,                                                 5,Published,,,,3762,,5/26/2025 6:19:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2013,52.98691,53,53,Published,,,,1224,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2013,191.42032,191,                                               191,Published,,,,1233,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2013,5,5,                                                 5,Published,,,,3762,,5/26/2025 6:19:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2014,62.35405,62,62,Published,,,,1224,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2014,194.80034,195,                                               195,Published,,,,1233,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2014,5,5,                                                 5,Published,,,,3762,,5/26/2025 6:19:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2015,60.71381,61,61,Published,,,,1224,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2015,194.45381,194,                                               194,Published,,,,1233,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2015,5,5,                                                 5,Published,,,,3762,,5/26/2025 6:19:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2016,53.98252,54,54,Published,,,,1224,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2016,217.74875,218,                                               218,Published,,,,1233,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2016,5,5,                                                 5,Published,,,,3762,,5/26/2025 6:19:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2017,70.84091,71,71,Published,,,,1224,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2017,222.50543,223,                                               223,Published,,,,1233,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2017,5,5,                                                 5,Published,,,,3762,,5/26/2025 6:19:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2018,74.05574,74,74,Published,,,,1224,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2018,224.76228,225,                                               225,Published,,,,1233,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2018,5,5,                                                 5,Published,,,,3762,,5/26/2025 6:19:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2019,72.32393,72,72,Published,,,,1224,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2019,218.1964,218,                                               218,Published,,,,1233,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2019,5,5,                                                 5,Published,,,,3762,,5/26/2025 6:19:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2020,72.0052,72,72,Published,,,,1224,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2020,206.2537,206,                                               206,Published,,,,1233,,5/26/2025 6:02:00 PM,
Caribbean,Bahamas DobLog Refit KeepIRRArtAge_21May2025+UA,44,BS,BHS,/2/1/,Bahamas,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2020,5,5,                                                 5,Published,,,,3762,,5/26/2025 6:19:00 PM,
